# time of execution: 2021-05-29 23:44:56
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4.05e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=4000000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500535869008	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692501052534882	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692501550685767	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.969250203098516	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692502494072783	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692502940565403	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692503371057736	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692503786123144	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692504186314463	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.969250457216471	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692504944187804	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692505302879252	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.9692505648716793	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.969250598216106	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692506303656172	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.969250661363032	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692506912496374	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692507200652389	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692507478482177	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.969250774635578	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.9692508004629985	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692508253648778	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692508493743847	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692508725234961	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692508948430459	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692509163627617	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692509371113069	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692509571163146	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692509764044315	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692509950013481	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692510129318322	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692510302197674	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.9692510468881806	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692510629592702	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692510784544435	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692510933943388	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.969251107798853	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692511216871718	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692511350777957	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692511479885588	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692511604366557	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692511724386681	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692511840105831	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692511951678088	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.9692512059252105	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692512162971133	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692512262973327	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692512359391884	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692512452355215	295.0	295.0	0.0	0.0	0.0	0.0
0.5	0.9692512541987148	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.969251262840707	295.0	295.0	0.0	0.0	0.0	0.0
0.52	0.9692512711730082	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9692512792067162	295.0	295.0	0.0	0.0	0.0	0.0
0.54	0.9692512869525309	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9692512944207701	295.0	295.0	0.0	0.0	0.0	0.0
0.56	0.9692513016213808	295.0	295.0	0.0	0.0	0.0	0.0
