# time of execution: 2021-05-30 01:09:07
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4.05e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=4000000.0[J/m^3/K]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.4e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500150819374	295.0	295.0	0.0	0.0	0.0	0.0
0.02	0.9692500300117604	295.0	295.0	0.0	0.0	0.0	0.0
0.03	0.9692500447910032	295.0	295.0	0.0	0.0	0.0	0.0
0.04	0.9692500594211855	295.0	295.0	0.0	0.0	0.0	0.0
0.05	0.9692500739038106	295.0	295.0	0.0	0.0	0.0	0.0
0.06	0.9692500882403657	295.0	295.0	0.0	0.0	0.0	0.0
0.07	0.9692501024323232	295.0	295.0	0.0	0.0	0.0	0.0
0.08	0.9692501164811445	295.0	295.0	0.0	0.0	0.0	0.0
0.09	0.9692501303882709	295.0	295.0	0.0	0.0	0.0	0.0
0.1	0.969250144155132	295.0	295.0	0.0	0.0	0.0	0.0
0.11	0.9692501577831436	295.0	295.0	0.0	0.0	0.0	0.0
0.12	0.9692501712737044	295.0	295.0	0.0	0.0	0.0	0.0
0.13	0.969250184628202	295.0	295.0	0.0	0.0	0.0	0.0
0.14	0.969250197848008	295.0	295.0	0.0	0.0	0.0	0.0
0.15	0.9692502109344809	295.0	295.0	0.0	0.0	0.0	0.0
0.16	0.9692502238889655	295.0	295.0	0.0	0.0	0.0	0.0
0.17	0.9692502367127938	295.0	295.0	0.0	0.0	0.0	0.0
0.18	0.9692502494072821	295.0	295.0	0.0	0.0	0.0	0.0
0.19	0.9692502619737366	295.0	295.0	0.0	0.0	0.0	0.0
0.2	0.9692502744134491	295.0	295.0	0.0	0.0	0.0	0.0
0.21	0.969250286727696	295.0	295.0	0.0	0.0	0.0	0.0
0.22	0.9692502989177433	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9692503109848436	295.0	295.0	0.0	0.0	0.0	0.0
0.24	0.9692503229302359	295.0	295.0	0.0	0.0	0.0	0.0
0.25	0.9692503347551495	295.0	295.0	0.0	0.0	0.0	0.0
0.26	0.9692503464607989	295.0	295.0	0.0	0.0	0.0	0.0
0.27	0.9692503580483867	295.0	295.0	0.0	0.0	0.0	0.0
0.28	0.9692503695191036	295.0	295.0	0.0	0.0	0.0	0.0
0.29	0.9692503808741283	295.0	295.0	0.0	0.0	0.0	0.0
0.3	0.9692503921146284	295.0	295.0	0.0	0.0	0.0	0.0
0.31	0.9692504032417579	295.0	295.0	0.0	0.0	0.0	0.0
0.32	0.9692504142566618	295.0	295.0	0.0	0.0	0.0	0.0
0.33	0.969250425160471	295.0	295.0	0.0	0.0	0.0	0.0
0.34	0.9692504359543062	295.0	295.0	0.0	0.0	0.0	0.0
0.35	0.9692504466392755	295.0	295.0	0.0	0.0	0.0	0.0
0.36	0.9692504572164788	295.0	295.0	0.0	0.0	0.0	0.0
0.37	0.9692504676870007	295.0	295.0	0.0	0.0	0.0	0.0
0.38	0.9692504780519202	295.0	295.0	0.0	0.0	0.0	0.0
0.39	0.9692504883123001	295.0	295.0	0.0	0.0	0.0	0.0
0.4	0.9692504984691949	295.0	295.0	0.0	0.0	0.0	0.0
0.41	0.9692505085236494	295.0	295.0	0.0	0.0	0.0	0.0
0.42	0.9692505184766964	295.0	295.0	0.0	0.0	0.0	0.0
0.43	0.9692505283293592	295.0	295.0	0.0	0.0	0.0	0.0
0.44	0.9692505380826478	295.0	295.0	0.0	0.0	0.0	0.0
0.45	0.969250547737566	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9692505572951077	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9692505667562522	295.0	295.0	0.0	0.0	0.0	0.0
0.48	0.9692505761219737	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9692505853932337	295.0	295.0	0.0	0.0	0.0	0.0
