# time of execution: 2021-09-20 10:15:36
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.01
# gep=4e+18[W/m^3/K]
# factor cv_el=1000[J/m^3/K^2]
# cv_ph=2300000.0[J/m^3/K]
# R = 12000000000000.0[1/s]
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.85e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	0.96925	295.0	295.0	0	0	0	0
0.01	0.9692500689689845	295.0001692442857	295.0000015093075	2.8791887085599654e-07	49.927078806000914	3.4714073887926133	53.398485906874626
0.02	0.9692501311737973	295.0003007992727	295.00000557567756	4.619207791822788e-07	88.73583097176818	12.824058172782316	101.55988868262968
0.03	0.969250187720102	295.00040243866783	295.0000115742467	5.658148668485907e-07	118.71948834308189	26.620767380609323	145.34025515787644
0.04	0.9692502394990061	295.00048035364864	295.0000190109018	6.268919936491812e-07	141.7044421301644	43.72507422497165	185.42951572824404
0.05	0.9692502872302506	295.0005394742695	295.000027495594	6.620761795472774e-07	159.14505548297024	63.23986619174775	222.38492101264183
0.06	0.9692503314966411	295.0005837256187	295.0000367210756	6.818028044919267e-07	172.199228324941	84.4584741403196	256.65770178345775
0.07	0.9692503727715062	295.0006162319714	295.000046445959	6.92459607154472e-07	181.7886217960077	106.82570633225623	288.6143274358042
0.08	0.9692504114405934	295.0006394794957	295.00005648121856	6.979199859702412e-07	188.64665610743492	129.90680354450888	318.55345895402394
0.09	0.9692504478195345	295.0006554459271	295.000066679437	7.005037266916148e-07	193.3567636939427	153.3627069338081	346.7194699272472
0.1	0.9692504821677741	295.0006657039116	295.0000769262409	7.015771003038296e-07	196.38287599200646	176.93035672241422	373.3132320128438
0.11	0.9692505146996818	295.0006715033702	295.00008713347756	7.019262565355344e-07	198.09372026417796	200.40700023223508	398.50071979448705
0.12	0.969250545593425	295.0006738371366	295.00009723377974	7.019884217807082e-07	198.78218290738832	223.63769503417643	422.4198772395768
0.13	0.9692505749980478	295.0006734932663	295.0001071762422	7.019941664077045e-07	198.68074090796816	246.50535815801504	445.1860983639897
0.14	0.9692506030391169	295.00067109672506	295.00011692297505	7.020542557023557e-07	197.97375952365792	268.92284432294673	466.89660314455125
0.15	0.9692506298232412	295.0006671426085	295.00012644636445	7.022121152056027e-07	196.80729254142193	290.82664090688013	487.63393274609086
0.16	0.96925065544168	295.00066202261735	295.00013572689056	7.024750895423537e-07	195.29689173474392	312.17185117570807	507.4687422079778
0.17	0.9692506799732208	295.0006560461499	295.0001447513917	7.028327086988639e-07	193.53382991816162	332.92820404763006	526.4620332629598
0.18	0.9692507034864922	295.0006494571135	295.00015351168594	7.032670782114447e-07	191.5900598192583	353.07688155915	544.6669406751416
0.19	0.96925072604181	295.00064244731584	295.00016200347585	7.037585468827601e-07	189.522165005962	372.6079978619964	562.1301621642002
0.2	0.9692507476926526	295.0006351671379	295.0001702254754	7.042885921682007e-07	187.37450789059093	391.51859721466735	578.8931044009705
0.21	0.9692507684868571	295.00062773403414	295.00017817872225	7.048411118648623e-07	185.18173759880398	409.8110653407275	594.9928022346913
0.22	0.9692507884675615	295.00062023930514	295.00018586602846	7.05402821710166e-07	182.97078787318108	427.4918699512682	610.4626571190482
0.22999999999999998	0.9692508076739819	295.00061275349174	295.00019329154736	7.059631969286162e-07	180.7624683961789	444.5705634081605	625.3330310983785
0.24	0.9692508261420266	295.0006053306724	295.0002004604302	7.065141854611934e-07	178.5727321169666	461.05899413844327	639.6317255488979
0.25	0.9692508439047964	295.0005980118818	295.0002073785563	7.07049844395069e-07	176.41368452651955	476.97068399861564	653.3843678180876
0.26	0.9692508609929869	295.0005908278373	295.00021405231877	7.075659677613366e-07	174.29438711273448	492.3203379222514	666.6147243274222
0.27	0.9692508774352209	295.00058380110505	295.0002204884585	7.080597405340061e-07	172.22149698918625	507.1234586041328	679.3449548852616
0.28	0.969250893258309	295.00057694782635	295.00022669393087	7.08529442020045e-07	170.1997758219873	521.3960447957788	691.5958199092397
0.29	0.9692509084874794	295.0005702790896	295.0002326758053	7.08974192117906e-07	168.23249467419961	535.1543560162327	703.3868499814613
0.3	0.9692509231465481	295.00056380202165	295.0002384411853	7.093937475777246e-07	166.32175590952	548.4147299558572	714.7364851559867
0.31	0.9692509372580737	295.0005575206548	295.00024399714715	7.097883355650092e-07	164.46874910505764	561.1934417707289	725.6621901660019
0.32	0.9692509508434759	295.000551436616	295.00024935069257	7.101585233482144e-07	162.67395431925038	573.5065965184731	736.1805501275687
0.33	0.9692509639231442	295.00054554967477	295.0002545087147	7.105051161998555e-07	160.93730335845947	585.3700479315194	746.3073505794767
0.34	0.9692509765165214	295.00053985817465	295.0002594779713	7.108290794310967e-07	159.25830776137386	596.7993378842266	756.0576449347737
0.35	0.9692509886421778	295.00053435937934	295.00026426506463	7.111314774821409e-07	157.6361601627226	607.8096523040813	765.4458117556745
0.36	0.9692510003178777	295.00052904974217	295.00026887642855	7.114134290275853e-07	156.06981442411544	618.4157900328955	774.4856037455997
0.37	0.9692510115606292	295.0005239251229	295.00027331832086	7.116760741138206e-07	154.55804899222835	628.6321417649106	783.190190045465
0.38	0.9692510223867358	295.0005189809549	295.00027759681444	7.119205485545121e-07	153.09951688560508	638.4726769759936	791.5721931496798
0.39	0.969251032811835	295.0005142123803	295.0002817177971	7.121479665833652e-07	151.69278492552203	647.9509370617734	799.6437212751491
0.4	0.9692510428509405	295.0005096143529	295.0002856869697	7.123594087526941e-07	150.33636449350564	657.0800332588533	807.416397040001
0.41	0.9692510525184675	295.0005051817204	295.00028950984563	7.125559131487824e-07	149.02873562488355	665.8726482942711	814.9013832065997
0.42	0.9692510618282719	295.00050090928704	295.0002931917554	7.127384708260909e-07	147.7683656535162	674.3410408623504	822.1094058031289
0.43	0.9692510707936701	295.00049679186367	295.00029673784735	7.129080219075989e-07	146.55372367315147	682.4970522003468	829.0507751605908
0.44	0.9692510794274661	295.0004928243041	295.0003001530916	7.130654552101046e-07	145.3832916307395	690.3521143332227	835.7354052508972
0.45	0.9692510877419773	295.00048900153445	295.00030344228475	7.13211607730746e-07	144.2555726799164	697.9172594310967	842.1728313978022
0.45999999999999996	0.969251095749049	295.00048531857396	295.0003066100545	7.133472654588524e-07	143.1690975668486	705.2031299955843	848.3722268490864
0.47000000000000003	0.9692511034600831	295.00048177055135	295.00030966086285	7.13473164742906e-07	142.1224291837375	712.2199896027951	854.3424180730597
0.48	0.9692511108860508	295.0004783527152	295.00031259901266	7.135899943375157e-07	141.11416584382607	718.9777340084902	860.0918991387273
0.49000000000000005	0.969251118037511	295.00047506044194	295.00031542865116	7.136983976238631e-07	140.14294358827098	725.4859024109919	865.6288452855654
0.5	0.9692511249246267	295.0004718892407	295.0003181537755	7.137989745456541e-07	139.20743769195485	731.7536887627739	870.9611257409307
0.5099999999999999	0.9692511315571838	295.00046883475653	295.00032077823806	7.138922842389595e-07	138.3063633769327	737.7899530909417	876.0963157539826
0.52	0.969251137944599	295.00046589277105	295.00032330575107	7.139788472318442e-07	137.4384763157105	743.6032325925908	881.0417081943233
0.5299999999999999	0.9692511440959418	295.0004630592033	295.00032573989023	7.140591478105307e-07	136.60257246486879	749.201752701606	885.8043244524168
0.54	0.9692511500199451	295.00046033010653	295.00032808410134	7.141336362675998e-07	135.79748771929167	754.5934378279298	890.3909248330892
0.5499999999999999	0.9692511557250156	295.0004577016687	295.0003303417029	7.142027312473376e-07	135.02209735579268	759.7859219089742	894.8080185505663
0.56	0.9692511612192489	295.0004551702084	295.0003325158926	7.142668217163806e-07	134.27531538248448	764.7865586330454	899.0618733012655
0.57	0.9692511665104387	295.00045273217216	295.00033460975004	7.1432626901069e-07	133.55609361694698	769.6024314397846	903.158524342408
0.58	0.9692511716060922	295.0004503841326	295.0003366262421	7.143814083759858e-07	132.86342083472633	774.2403631906427	907.1037833109903
0.59	0.9692511765134383	295.0004481227829	295.0003385682258	7.144325514310546e-07	132.19632168578593	778.7069255714641	910.9032465428207
0.6	0.9692511812394359	295.0004459449355	295.0003404384528	7.144799872640939e-07	131.55385571458925	783.008448177975	914.5623031780871
0.61	0.9692511857907894	295.00044384751715	295.000342239574	7.1452398420907e-07	130.93511628057763	787.1510273249214	918.086142890978
0.62	0.9692511901739526	295.00044182756517	295.0003439741425	7.145647910461461e-07	130.3392295395681	791.1405345036201	921.4797633286262
0.6299999999999999	0.9692511943951422	295.0004398822248	295.000345644617	7.146026389445725e-07	129.7653533367392	794.9826246157727	924.7479772379115
0.64	0.9692511984603448	295.00043800874556	295.0003472533644	7.146377423716821e-07	129.21267615720635	798.68274392486	927.8954193674308
0.6499999999999999	0.9692512023753237	295.0004362044767	295.0003488026663	7.146703000261712e-07	128.68041611209523	802.246137684233	930.9265530816598
0.66	0.9692512061456318	295.000434466865	295.0003502947184	7.147004965728232e-07	128.1678199157562	805.6778575089993	933.8456767100569
0.6699999999999999	0.9692512097766146	295.0004327934504	295.00035173163616	7.147285030623118e-07	127.67416186269223	808.982768505075	936.65692965304
0.68	0.9692512132734226	295.00043118186295	295.00035311545656	7.147544782565296e-07	127.19874285822421	812.1655561269336	939.3642982704041
0.69	0.9692512166410128	295.0004296298205	295.0003544481421	7.147785694959496e-07	126.74088948955406	815.230732779537	941.9716215543126
0.7	0.969251219884161	295.00042813512323	295.0003557315818	7.148009132998401e-07	126.29995314655908	818.1826441840713	944.4825966158293
0.71	0.969251223007465	295.0004266956541	295.0003569675955	7.14821636445262e-07	125.87530908939696	821.0254755397955	946.9007839143708
0.72	0.9692512260153541	295.00042530937304	295.00035815793564	7.148408564527919e-07	125.46635559630185	823.7632574491954	949.2296123306559
0.73	0.9692512289120935	295.0004239743156	295.0003593042894	7.14858682315106e-07	125.07251308237647	826.3998716119659	951.4723839794832
0.74	0.9692512317017902	295.0004226885895	295.0003604082825	7.148752151908688e-07	124.69322333044123	828.9390563313873	953.632278946952
0.7499999999999999	0.9692512343884007	295.00042145037196	295.00036147148035	7.148905487829038e-07	124.3279487279929	831.3844117831422	955.7123597962432
0.76	0.9692512369757318	295.00042025790844	295.0003624953905	7.149047702124933e-07	123.97617153986451	833.7394051121009	957.7155759370594
0.7699999999999999	0.9692512394674551	295.0004191095086	295.0003634814645	7.149179599985622e-07	123.63739307918364	836.007375390318	959.6447677545826
0.78	0.9692512418671018	295.00041800354415	295.0003644311006	7.149301930117757e-07	123.31113308742937	838.1915382978832	961.5026706703812
0.7899999999999999	0.9692512441780752	295.00041693844724	295.0003653456453	7.149415387243396e-07	122.99692901742597	840.2949907076845	963.2919190101676
0.8	0.9692512464036518	295.00041591270787	295.0003662263954	7.149520614077587e-07	122.69433545537326	842.3207150419785	965.0150497823984
0.8099999999999999	0.9692512485469877	295.00041492487185	295.0003670745993	7.149618207226427e-07	122.40292337204684	844.2715835418994	966.6745061989836
0.82	0.9692512506111214	295.00041397353846	295.0003678914595	7.14970872141979e-07	122.12227959346366	846.1503623167118	968.2726411952045
0.83	0.9692512525989806	295.00041305735886	295.0003686781348	7.149792669441934e-07	121.8520062277978	847.9597152519545	969.8117207647729
0.84	0.969251254513382	295.000412175034	295.0003694357403	7.149870528445901e-07	121.59172011387047	849.702207797327	971.2939271962102
0.85	0.9692512563570421	295.00041132531356	295.0003701653502	7.149942739571868e-07	121.34105219825734	851.3803106095111	972.7213620927736
0.86	0.969251258132573	295.00041050699235	295.0003708679993	7.150009712440092e-07	121.09964706797491	852.9964030606834	974.0960494136567
0.87	0.9692512598424934	295.00040971890996	295.0003715446833	7.150071827492777e-07	120.86716246545363	854.552776592277	975.4199383427228
0.88	0.9692512614892281	295.0004089599494	295.0003721963623	7.150129436514496e-07	120.6432687519186	856.051637969631	976.6949060065361
0.8899999999999999	0.9692512630751109	295.0004082290342	295.00037282396016	7.150182866587362e-07	120.42764848996717	857.4951124120844	977.9227601870331
0.9	0.9692512646023909	295.0004075251281	295.0003734283663	7.150232420819608e-07	120.21999598502761	858.885246602722	979.1052418727257
0.9099999999999999	0.969251266073234	295.0004068472333	295.0003740104382	7.150278380340519e-07	120.02001679386944	860.2240116192206	980.2440276980619
0.9199999999999999	0.9692512674897256	295.0004061943886	295.00037457100075	7.150321005931076e-07	119.82742735723181	861.5133056862987	981.3407323284979
0.93	0.9692512688538748	295.00040556566836	295.00037511084884	7.150360539515815e-07	119.64195458608691	862.7549569005623	982.3969107716127
0.9400000000000001	0.9692512701676139	295.0004049601809	295.00037563074847	7.150397205325093e-07	119.4633355015865	863.9507257841615	983.414060570708
0.95	0.9692512714328072	295.0004043770677	295.0003761314362	7.150431211473685e-07	119.29131686285984	865.1023078114576	984.3936239592744
0.96	0.9692512726512476	295.00040381550224	295.0003766136222	7.15046275074141e-07	119.12565477863289	866.2113358083388	985.3369898719261
0.9699999999999999	0.9692512738246636	295.00040327468815	295.00037707799044	7.150492002255815e-07	118.96611435350256	867.279382255424	986.2454958938785
0.9800000000000001	0.9692512749547193	295.00040275385845	295.000377525199	7.150519131787075e-07	118.81246937269745	868.3079615202132	987.1204301778599
0.99	0.9692512760430163	295.00040225227457	295.0003779558816	7.150544293448025e-07	118.66450196625655	869.2985320300977	987.9630332813008
1.0	0.9692512770910976	295.0004017692256	295.00037837064934	7.150567630075794e-07	118.52200236449134	870.2524983063768	988.7744999558121
1.01	0.9692512781004489	295.00040130402675	295.00037877009055	7.150589273544061e-07	118.38476849883558	871.1712129796297	989.5559807634065
1.0199999999999998	0.9692512790725024	295.0004008560184	295.00037915477117	7.150609346827375e-07	118.25260579125596	872.0559786904005	990.3085837665955
1.03	0.9692512800086365	295.0004004245649	295.0003795252367	7.150627964365441e-07	118.12532683022714	872.9080499489555	991.03337606412
1.04	0.9692512809101775	295.00040000905483	295.00037988201257	7.150645231299851e-07	118.00275115730047	873.7286348967245	991.7313853389611
1.05	0.9692512817784038	295.00039960889916	295.0003802256047	7.150661245685849e-07	117.88470498104705	874.5188970455274	992.4036013115085
1.0599999999999998	0.9692512826145471	295.00039922353	295.0003805565002	7.150676098344882e-07	117.77102091470046	875.2799568986802	993.050977098313
1.0699999999999998	0.9692512834197932	295.0003988524013	295.0003808751681	7.150689873549818e-07	117.66153778314877	876.012893550137	993.6744306182173
1.08	0.9692512841952842	295.00039849498665	295.0003811820605	7.15070264952801e-07	117.55610030773876	876.7187462354059	994.2748458280746
1.09	0.9692512849421175	295.00039815077935	295.0003814776124	7.15071449888631e-07	117.45455899267974	877.3985157675043	994.8530740451127
1.0999999999999999	0.9692512856613534	295.0003978192915	295.00038176224297	7.150725488628412e-07	117.35676991880099	878.0531659806456	995.4099351843744
1.1099999999999999	0.9692512863540109	295.00039750005294	295.00038203635563	7.150735681160994e-07	117.26259442687335	878.6836251034174	995.9462188152168
1.12	0.9692512870210735	295.00039719261116	295.000382300339	7.150745134189632e-07	117.17189898254941	879.2907870665431	996.4626853340183
1.1300000000000001	0.9692512876634858	295.00039689653033	295.00038255456735	7.150753901655552e-07	117.08455499095906	879.875512772719	996.9600670486034
1.14	0.9692512882821595	295.00039661139044	295.00038279940134	7.150762033223887e-07	117.00043859058482	880.4386312997394	997.4390691752485
1.15	0.969251288877973	295.00039633678716	295.0003830351882	7.150769574856136e-07	116.91943050961503	880.9809410864545	997.9003708809928
1.16	0.9692512894517682	295.00039607233106	295.00038326226183	7.15077656933058e-07	116.84141585707279	881.5032110744369	998.3446262164321
1.1700000000000002	0.9692512900043605	295.0003958176474	295.0003834809449	7.150783056441776e-07	116.7662840595547	882.0061817797978	998.7724651242743
1.18	0.9692512905365327	295.00039557237534	295.0003836915466	7.15078907296586e-07	116.69392858209832	882.4905663685968	999.1844942356162
1.19	0.9692512910490396	295.0003953361664	295.0003838943662	7.150794653089897e-07	116.62424682708553	882.9570516547165	999.5812977667224
1.2	0.9692512915426087	295.0003951086855	295.000384089691	7.150799828476925e-07	116.55714000011835	883.4062990515804	999.9634383366191
1.21	0.9692512920179378	295.0003948896112	295.00038427779805	7.150804628326679e-07	116.49251297026815	883.8389455404695	1000.3314577956571
1.22	0.9692512924757031	295.0003946786319	295.00038445895416	7.150809080091157e-07	116.43027411660233	884.2556045715128	1000.6858779730345
1.23	0.9692512929165519	295.00039447544935	295.00038463341593	7.15081320894987e-07	116.37033517503299	884.6568669313683	1001.0272013913203
1.24	0.9692512933411108	295.0003942797748	295.00038480143076	7.150817038200155e-07	116.31261114335517	885.043301575638	1001.3559120039121
1.25	0.9692512937499808	295.00039409133103	295.0003849632372	7.150820589751569e-07	116.25702017042886	885.4154564322926	1001.6724758876396
1.2599999999999998	0.969251294143742	295.00039390985086	295.00038511906445	7.150823883635832e-07	116.20348344097997	885.7738591690122	1001.9773418949098
1.27	0.9692512945229532	295.00039373507695	295.00038526913335	7.150826938579283e-07	116.15192502266248	886.119017972942	1002.270942280522
1.28	0.9692512948881514	295.00039356676064	295.00038541365683	7.150829771981199e-07	116.10227182225975	886.4514222364278	1002.5536933436048
1.29	0.9692512952398536	295.00039340466475	295.00038555283976	7.150832399801035e-07	116.05445347845911	886.7715432621253	1002.8259960255011
1.2999999999999998	0.9692512955785606	295.00039324855896	295.0003856868796	7.150834837026804e-07	116.00840214019341	887.0798349680626	1003.0882363931725
