# time of execution: 2022-07-06 12:40:53
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:300.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.063
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	300.0	300.0	0	0	0	0
0.01	0.9999659245793985	300.0	300.0	0.0	0.0	0.0	0.0
0.02	0.9999322979595264	300.0	300.0	0.0	0.0	0.0	0.0
0.03	0.9998991141945793	300.0	300.0	0.0	0.0	0.0	0.0
0.04	0.9998663674184326	300.0	300.0	0.0	0.0	0.0	0.0
0.05	0.9998340518435463	300.0	300.0	0.0	0.0	0.0	0.0
0.06	0.9998021617598922	300.0	300.0	0.0	0.0	0.0	0.0
0.07	0.9997706915338902	300.0	300.0	0.0	0.0	0.0	0.0
0.08	0.9997396356073668	300.0	300.0	0.0	0.0	0.0	0.0
0.09	0.99970898849652	300.0	300.0	0.0	0.0	0.0	0.0
0.1	0.9996787447909085	300.0	300.0	0.0	0.0	0.0	0.0
0.11	0.999648899152445	300.0	300.0	0.0	0.0	0.0	0.0
0.12	0.9996194463144141	300.0	300.0	0.0	0.0	0.0	0.0
0.13	0.9995903810804951	300.0	300.0	0.0	0.0	0.0	0.0
0.14	0.9995616983238037	300.0	300.0	0.0	0.0	0.0	0.0
0.15	0.9995333929859472	300.0	300.0	0.0	0.0	0.0	0.0
0.16	0.9995054600760903	300.0	300.0	0.0	0.0	0.0	0.0
0.17	0.9994778946700361	300.0	300.0	0.0	0.0	0.0	0.0
0.18	0.9994506919093211	300.0	300.0	0.0	0.0	0.0	0.0
0.19	0.9994238470003177	300.0	300.0	0.0	0.0	0.0	0.0
0.2	0.9993973552133582	300.0	300.0	0.0	0.0	0.0	0.0
0.21	0.9993712118818625	300.0	300.0	0.0	0.0	0.0	0.0
0.22	0.9993454124014817	300.0	300.0	0.0	0.0	0.0	0.0
0.22999999999999998	0.9993199522292545	300.0	300.0	0.0	0.0	0.0	0.0
0.24	0.9992948268827747	300.0	300.0	0.0	0.0	0.0	0.0
0.25	0.9992700319393694	300.0	300.0	0.0	0.0	0.0	0.0
0.26	0.9992455630352903	300.0	300.0	0.0	0.0	0.0	0.0
0.27	0.9992214158649153	300.0	300.0	0.0	0.0	0.0	0.0
0.28	0.9991975861799597	300.0	300.0	0.0	0.0	0.0	0.0
0.29	0.9991740697887029	300.0	300.0	0.0	0.0	0.0	0.0
0.3	0.9991508625552187	300.0	300.0	0.0	0.0	0.0	0.0
0.31	0.9991279603986288	300.0	300.0	0.0	0.0	0.0	0.0
0.32	0.9991053592923498	300.0	300.0	0.0	0.0	0.0	0.0
0.33	0.9990830552633655	300.0	300.0	0.0	0.0	0.0	0.0
0.34	0.9990610443915	300.0	300.0	0.0	0.0	0.0	0.0
0.35	0.9990393228087076	300.0	300.0	0.0	0.0	0.0	0.0
0.36	0.9990178866983636	300.0	300.0	0.0	0.0	0.0	0.0
0.37	0.9989967322945779	300.0	300.0	0.0	0.0	0.0	0.0
0.38	0.998975855881506	300.0	300.0	0.0	0.0	0.0	0.0
0.39	0.9989552537926737	300.0	300.0	0.0	0.0	0.0	0.0
0.4	0.9989349224103151	300.0	300.0	0.0	0.0	0.0	0.0
0.41	0.9989148581647156	300.0	300.0	0.0	0.0	0.0	0.0
0.42	0.9988950575335616	300.0	300.0	0.0	0.0	0.0	0.0
0.43	0.9988755170413071	300.0	300.0	0.0	0.0	0.0	0.0
0.44	0.9988562332585419	300.0	300.0	0.0	0.0	0.0	0.0
0.45	0.9988372028013703	300.0	300.0	0.0	0.0	0.0	0.0
0.45999999999999996	0.9988184223308012	300.0	300.0	0.0	0.0	0.0	0.0
0.47000000000000003	0.9987998885521442	300.0	300.0	0.0	0.0	0.0	0.0
0.48	0.9987815982144099	300.0	300.0	0.0	0.0	0.0	0.0
0.49000000000000005	0.9987635481097304	300.0	300.0	0.0	0.0	0.0	0.0
0.5	0.9987457350727751	300.0	300.0	0.0	0.0	0.0	0.0
0.5099999999999999	0.9987281559801799	300.0	300.0	0.0	0.0	0.0	0.0
0.52	0.9987108077499843	300.0	300.0	0.0	0.0	0.0	0.0
0.5299999999999999	0.9986936873410792	300.0	300.0	0.0	0.0	0.0	0.0
0.54	0.9986767917526542	300.0	300.0	0.0	0.0	0.0	0.0
0.5499999999999999	0.9986601180236595	300.0	300.0	0.0	0.0	0.0	0.0
0.56	0.9986436632322748	300.0	300.0	0.0	0.0	0.0	0.0
0.57	0.9986274244953788	300.0	300.0	0.0	0.0	0.0	0.0
0.58	0.998611398968037	300.0	300.0	0.0	0.0	0.0	0.0
0.59	0.9985955838429846	300.0	300.0	0.0	0.0	0.0	0.0
0.6	0.9985799763501253	300.0	300.0	0.0	0.0	0.0	0.0
0.61	0.9985645737560351	300.0	300.0	0.0	0.0	0.0	0.0
0.62	0.9985493733634652	300.0	300.0	0.0	0.0	0.0	0.0
0.6299999999999999	0.9985343725108675	300.0	300.0	0.0	0.0	0.0	0.0
0.64	0.9985195685719099	300.0	300.0	0.0	0.0	0.0	0.0
0.6499999999999999	0.9985049589550089	300.0	300.0	0.0	0.0	0.0	0.0
0.66	0.9984905411028636	300.0	300.0	0.0	0.0	0.0	0.0
0.6699999999999999	0.998476312491999	300.0	300.0	0.0	0.0	0.0	0.0
0.68	0.9984622706323119	300.0	300.0	0.0	0.0	0.0	0.0
0.69	0.9984484130666282	300.0	300.0	0.0	0.0	0.0	0.0
0.7	0.9984347373702609	300.0	300.0	0.0	0.0	0.0	0.0
0.71	0.998421241150578	300.0	300.0	0.0	0.0	0.0	0.0
0.72	0.9984079220465744	300.0	300.0	0.0	0.0	0.0	0.0
0.73	0.9983947777284465	300.0	300.0	0.0	0.0	0.0	0.0
0.74	0.9983818058971847	300.0	300.0	0.0	0.0	0.0	0.0
0.7499999999999999	0.9983690042841504	300.0	300.0	0.0	0.0	0.0	0.0
0.76	0.9983563706506862	300.0	300.0	0.0	0.0	0.0	0.0
0.7699999999999999	0.9983439027877011	300.0	300.0	0.0	0.0	0.0	0.0
0.78	0.9983315985152846	300.0	300.0	0.0	0.0	0.0	0.0
0.7899999999999999	0.9983194556823177	300.0	300.0	0.0	0.0	0.0	0.0
0.8	0.99830747216609	300.0	300.0	0.0	0.0	0.0	0.0
0.8099999999999999	0.9982956458719177	300.0	300.0	0.0	0.0	0.0	0.0
0.82	0.9982839747327729	300.0	300.0	0.0	0.0	0.0	0.0
0.83	0.9982724567089157	300.0	300.0	0.0	0.0	0.0	0.0
0.84	0.9982610897875306	300.0	300.0	0.0	0.0	0.0	0.0
0.85	0.9982498719823667	300.0	300.0	0.0	0.0	0.0	0.0
0.86	0.9982388013333885	300.0	300.0	0.0	0.0	0.0	0.0
0.87	0.9982278759064233	300.0	300.0	0.0	0.0	0.0	0.0
0.88	0.9982170937928168	300.0	300.0	0.0	0.0	0.0	0.0
0.8899999999999999	0.9982064531090976	300.0	300.0	0.0	0.0	0.0	0.0
0.9	0.9981959519966414	300.0	300.0	0.0	0.0	0.0	0.0
0.9099999999999999	0.9981855886213369	300.0	300.0	0.0	0.0	0.0	0.0
0.9199999999999999	0.9981753611732643	300.0	300.0	0.0	0.0	0.0	0.0
0.93	0.9981652678663753	300.0	300.0	0.0	0.0	0.0	0.0
0.9400000000000001	0.9981553069381702	300.0	300.0	0.0	0.0	0.0	0.0
0.95	0.9981454766493891	300.0	300.0	0.0	0.0	0.0	0.0
0.96	0.9981357752837041	300.0	300.0	0.0	0.0	0.0	0.0
0.9699999999999999	0.9981262011474129	300.0	300.0	0.0	0.0	0.0	0.0
0.9800000000000001	0.9981167525691385	300.0	300.0	0.0	0.0	0.0	0.0
0.99	0.9981074278995341	300.0	300.0	0.0	0.0	0.0	0.0
1.0	0.9980982255109901	300.0	300.0	0.0	0.0	0.0	0.0
1.01	0.9980891437973468	300.0	300.0	0.0	0.0	0.0	0.0
1.0199999999999998	0.9980801811736089	300.0	300.0	0.0	0.0	0.0	0.0
1.03	0.9980713360756635	300.0	300.0	0.0	0.0	0.0	0.0
1.04	0.9980626069600071	300.0	300.0	0.0	0.0	0.0	0.0
1.05	0.9980539923034681	300.0	300.0	0.0	0.0	0.0	0.0
1.0599999999999998	0.9980454906029411	300.0	300.0	0.0	0.0	0.0	0.0
1.0699999999999998	0.9980371003751183	300.0	300.0	0.0	0.0	0.0	0.0
1.08	0.9980288201562262	300.0	300.0	0.0	0.0	0.0	0.0
1.09	0.9980206485017737	300.0	300.0	0.0	0.0	0.0	0.0
1.0999999999999999	0.9980125839862858	300.0	300.0	0.0	0.0	0.0	0.0
1.1099999999999999	0.9980046252030619	300.0	300.0	0.0	0.0	0.0	0.0
